Name,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,foodnumber,recommended,tags
"Onion Rings, Chicken Wings",293.1,8.8,3.1,58.8,651,39.7,4,6.7,13.9,49,0,"['30-minutes-or-less', 'time-to-make', 'course', '3-steps-or-less', 'main-ingredient', 'appetizers', 'cuisine', 'easy', 'deep-fry', 'poultry', 'indian', 'meat', 'wings', 'low-in-something', 'low-carb', 'onions', 'presentation', 'healthy', 'preparation', 'main-dish', 'served-hot', 'technique', 'chicken', 'dietary']"
Chicken Curry,360.1,10.7,4.9,93.2,1251.6,38,4.6,23.5,31.1,50,1,"['curries', 'time-to-make', 'course', 'cuisine', 'preparation', 'main-dish', 'asian', 'indian', 'dietary', 'low-carb', 'low-in-something', '4-hours-or-less']"
"Onion Pakora, Onion Rings, French Fries",581.6,15,3.5,29.7,1032.5,103.4,10.1,10.7,15.2,51,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dietary']"
Chicken Curry,360.1,10.7,4.9,93.2,1251.6,38,4.6,23.5,31.1,52,1,"['curries', 'time-to-make', 'course', 'cuisine', 'preparation', 'main-dish', 'asian', 'indian', 'dietary', 'low-carb', 'low-in-something', '4-hours-or-less']"
"Roti, Roti",456.2,1.2,0.2,0,474.8,96,3.4,0.4,13,53,1,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'breads', 'beans', 'indian', 'dietary', 'chick-peas-garbanzos', 'pasta-rice-and-grains', '4-hours-or-less']"
White Rice,201.2,3.6,0.5,0,297.5,37.8,1.3,0,3.1,54,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', '5-ingredients-or-less', 'side-dishes', 'rice', 'indian', 'easy', 'dietary', 'low-sodium', 'low-in-something', 'pasta-rice-and-grains', 'long-grain-rice', '3-steps-or-less']"
Aloo Methi,223.5,7.4,1,0,25.8,36.6,5.9,5.5,5.2,55,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'lunch', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'indian', 'easy', 'vegetarian', 'dietary', 'inexpensive']"
Biryani,400,15,3,30,800,40,2,5,15,56,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
"Kadhi Pakora, Kadhi Pakora",550,34,6,120,900,42,6,10,24,57,1,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'appetizers', 'eggs-dairy', 'asian', 'indian']"
Aloo Matar,184.3,9.6,1.3,0,269.2,21.7,4.5,5.7,4.7,58,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'potatoes', 'vegetables', 'asian', 'indian', 'vegan', 'vegetarian', 'dietary']"
White Rice,201.2,3.6,0.5,0,297.5,37.8,1.3,0,3.1,59,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', '5-ingredients-or-less', 'side-dishes', 'rice', 'indian', 'easy', 'dietary', 'low-sodium', 'low-in-something', 'pasta-rice-and-grains', 'long-grain-rice', '3-steps-or-less']"
"Chicken Wings, Burger",459,24,6.7,69.1,927.6,35,2,7,26.9,60,1,"['30-minutes-or-less', 'time-to-make', 'course', 'occasion', 'main-ingredient', 'chicken', 'preparation', 'beginner-cook', 'american', 'easy', 'main-dish', 'lunch', 'poultry', 'wings', 'meat', 'to-go', 'appetizers', 'sandwiches', 'ground-beef', 'camping', 'north-american', 'picnic', 'healthy', 'vegetables', 'cuisine', 'indian', 'beef', '3-steps-or-less']"
"Paratha, Pancakes, Pancakes, Pancakes",810.4,40.7,11.2,90.9,634.6,97.4,11,4.8,19.4,61,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'flat-shapes', 'breads', 'unhealthy', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'vegetarian', 'dietary', 'egg-free', 'free-of-something', 'presentation', 'served-hot', '3-steps-or-less']"
Chicken Wings,84,6,1.7,29.1,27.6,0,0,0,6.9,62,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'poultry', 'indian', 'easy', 'chicken', 'meat', 'wings', '3-steps-or-less']"
Biryani,400,15,3,30,800,40,2,5,15,63,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
Kadhi Pakora,275,17,3,60,450,21,3,5,12,64,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'appetizers', 'eggs-dairy', 'asian', 'indian']"
"Kheer, Rice",390.3,9.6,6.1,8.5,289.7,66.5,3.1,11.1,10.3,65,1,"['long-grain-rice', '15-minutes-or-less', '5-ingredients-or-less', 'number-of-servings', 'time-to-make', 'easy', 'desserts', 'course', 'preparation', 'cuisine', '3-steps-or-less', 'main-ingredient', 'rice', 'puddings-and-mousses', 'stove-top', 'indian', 'equipment', 'low-sodium', 'low-in-something', 'for-1-or-2', 'pasta-rice-and-grains', 'white-rice', 'asian', 'eggs-dairy', 'side-dishes']"
Waffles,333.8,15.7,9.3,101.1,531.1,39.5,1.1,4.4,8.5,66,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'american', 'stove-top', 'midwestern', 'equipment']"
Spring Rolls,125.1,4.3,0.9,27.8,369.8,13.9,1.1,1,7.7,67,0,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'side-dishes', 'vegetables', 'asian', 'vietnamese', 'dinner-party', 'finger-food', 'vegetarian', 'dietary', 'spicy', 'taste-mood', 'savory', 'presentation', 'served-cold', '4-hours-or-less']"
"Onion Rings, Chicken Wings",293.1,8.8,3.1,58.8,651,39.7,4,6.7,13.9,68,0,"['30-minutes-or-less', 'time-to-make', 'course', '3-steps-or-less', 'main-ingredient', 'appetizers', 'cuisine', 'easy', 'deep-fry', 'poultry', 'indian', 'meat', 'wings', 'low-in-something', 'low-carb', 'onions', 'presentation', 'healthy', 'preparation', 'main-dish', 'served-hot', 'technique', 'chicken', 'dietary']"
"Spring Rolls, Spring Rolls, Samosa, Samosa",325.4,9.4,2,55.6,1035.8,43,4.2,3.4,17.6,69,1,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'side-dishes', 'vegetables', 'asian', 'vietnamese', 'dinner-party', 'finger-food', 'vegetarian', 'dietary', 'spicy', 'taste-mood', 'savory', 'presentation', 'served-cold', '4-hours-or-less']"
Sandwich,192.8,2.5,0.6,0.6,368.6,36.5,3.1,7.2,7.6,70,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'lunch', 'canadian', 'easy', 'grains', 'dietary', 'sandwiches', 'high-protein', 'inexpensive', 'ontario', 'high-in-something', 'meat', 'pasta-rice-and-grains', 'taste-mood', 'savory', 'number-of-servings', '3-steps-or-less']"
"Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki",3240.9,10.4,2.6,0,8972.6,718.9,87.1,36.4,87.1,71,1,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'lunch', 'side-dishes', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dinner-party', 'kid-friendly', 'vegan', 'vegetarian', 'grains', 'stove-top', 'dietary', 'inexpensive', 'toddler-friendly', 'pasta-rice-and-grains', 'equipment', 'presentation', 'served-hot']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,72,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
"Aloo Tikki, Aloo Tikki, Aloo Tikki",749.4,2.4,0.6,0,2070.6,165.9,20.1,8.4,20.1,73,1,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'lunch', 'side-dishes', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dinner-party', 'kid-friendly', 'vegan', 'vegetarian', 'grains', 'stove-top', 'dietary', 'inexpensive', 'toddler-friendly', 'pasta-rice-and-grains', 'equipment', 'presentation', 'served-hot']"
Bhindi Masala,175,10,2,0,600,15,5,3,7,74,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'healthy', 'side-dishes', 'vegetables', 'asian', 'indian', 'vegan', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']"
"Spring Rolls, Sandwich, Spring Rolls, Samosa",480.6,11.5,2.5,56.2,1108.2,71.9,6.3,9.9,24.1,75,1,"['30-minutes-or-less', 'time-to-make', 'course', 'rice', 'unhealthy', 'presentation', 'served-hot', 'flat-shapes', '5-ingredients-or-less', 'main-ingredient', 'preparation', 'beginner-cook', 'asian', 'indian', 'easy', 'dietary', 'long-grain-rice', 'low-sodium', 'breads', 'side-dishes', 'snacks', 'vegetarian', 'free-of-something', 'pasta-rice-and-grains', 'cuisine', 'egg-free', 'lunch', '3-steps-or-less', 'beverages', 'main-dish', 'poultry', 'chicken', 'meat', 'wings']"
"Chole, Omelette, Omelette",520,28,7,740,860,29,6,5,36,76,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'for-1-or-2', 'omelets-and-frittatas', 'breakfast', 'indian', 'vegetarian', 'dietary', 'low-calorie', 'low-carb', 'low-in-something', 'number-of-servings']"
Sandwich,192.8,2.5,0.6,0.6,368.6,36.5,3.1,7.2,7.6,77,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'lunch', 'canadian', 'easy', 'grains', 'dietary', 'sandwiches', 'high-protein', 'inexpensive', 'ontario', 'high-in-something', 'meat', 'pasta-rice-and-grains', 'taste-mood', 'savory', 'number-of-servings', '3-steps-or-less']"
French Fries,197.5,0.2,0.1,0,9.1,45.7,4.1,2,4.2,78,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'low-protein', 'healthy', '5-ingredients-or-less', 'appetizers', 'potatoes', 'vegetables', 'french', 'easy', 'european', 'finger-food', 'low-fat', 'dietary', 'low-cholesterol', 'low-calorie', 'healthy-2', 'low-in-something', 'presentation']"
"Burger, Pancakes",474.8,22,7.3,70.3,1110.2,48.1,2.4,8.5,22.8,79,1,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'lunch', 'main-dish', 'beef', 'american', 'easy', 'beginner-cook', 'picnic', 'sandwiches', 'ground-beef', 'meat', 'to-go', 'camping']"
Burger,375,18,5,40,900,35,2,7,20,80,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'lunch', 'main-dish', 'beef', 'american', 'easy', 'beginner-cook', 'picnic', 'sandwiches', 'ground-beef', 'meat', 'to-go', 'camping']"
"Chicken Wings, Omelette, Waffles, Pancakes",677.6,35.7,16.3,530.5,898.9,54.6,1.5,5.9,32.2,81,1,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'stove-top', 'equipment', 'cuisine', 'indian', 'easy', 'chicken', 'meat', 'wings', '3-steps-or-less', 'american', 'midwestern', 'healthy', 'main-dish', 'poultry']"
Samosa ,37.6,0.4,0.1,0,148.1,7.6,1,0.7,1.1,82,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'healthy', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'indian', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something']"
"Burger, Burger",750,36,10,80,1800,70,4,14,40,83,1,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'lunch', 'main-dish', 'beef', 'american', 'easy', 'beginner-cook', 'picnic', 'sandwiches', 'ground-beef', 'meat', 'to-go', 'camping']"
"Chicken Wings, Aloo Tikki, Aloo Tikki, Aloo Tikki, Onion Rings",1042.5,11.2,3.7,58.8,2721.6,205.6,24.1,15.1,34,84,1,"['30-minutes-or-less', 'time-to-make', 'course', '3-steps-or-less', 'main-ingredient', 'appetizers', 'cuisine', 'easy', 'deep-fry', 'poultry', 'potatos', 'indian', 'meat', 'wings', 'low-in-something', 'low-carb', 'onions', 'presentation', 'vegetables', 'preparation', 'main-dish', 'served-hot', 'technique', 'chicken', 'dietary']"
Sandwich,192.8,2.5,0.6,0.6,368.6,36.5,3.1,7.2,7.6,85,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'lunch', 'canadian', 'easy', 'grains', 'dietary', 'sandwiches', 'high-protein', 'inexpensive', 'ontario', 'high-in-something', 'meat', 'pasta-rice-and-grains', 'taste-mood', 'savory', 'number-of-servings', '3-steps-or-less']"
Spring Rolls,125.1,4.3,0.9,27.8,369.8,13.9,1.1,1,7.7,86,0,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'side-dishes', 'vegetables', 'asian', 'vietnamese', 'dinner-party', 'finger-food', 'vegetarian', 'dietary', 'spicy', 'taste-mood', 'savory', 'presentation', 'served-cold', '4-hours-or-less']"
Sandwich,192.8,2.5,0.6,0.6,368.6,36.5,3.1,7.2,7.6,87,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'lunch', 'canadian', 'easy', 'grains', 'dietary', 'sandwiches', 'high-protein', 'inexpensive', 'ontario', 'high-in-something', 'meat', 'pasta-rice-and-grains', 'taste-mood', 'savory', 'number-of-servings', '3-steps-or-less']"
"Burger, Onion Rings",584.1,20.8,6.4,69.7,1523.4,74.7,6,13.7,27,88,1,"['30-minutes-or-less', 'time-to-make', 'course', 'appetizers', 'technique', 'occasion', 'main-ingredient', 'preparation', 'deep-fry', 'lunch', 'cuisine', 'easy', 'onions', 'american', 'picnic', 'to-go', 'north-american', 'ground-beef', 'dietary', 'low-protein', 'vegetables', 'sandwiches', 'served-hot', 'camping', 'main-dish', 'meat', 'low-in-something', 'beginner-cook', 'indian', 'low-carb']"
Chicken Curry,360.1,10.7,4.9,93.2,1251.6,38,4.6,23.5,31.1,89,1,"['curries', 'time-to-make', 'course', 'cuisine', 'preparation', 'main-dish', 'asian', 'indian', 'dietary', 'low-carb', 'low-in-something', '4-hours-or-less']"
Onion Rings,209.1,2.8,1.4,29.7,623.4,39.7,4,6.7,7,90,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'appetizers', 'vegetables', 'asian', 'indian', 'easy', 'deep-fry', 'dietary', 'low-carb', 'low-in-something', 'onions', 'presentation', 'served-hot', 'technique']"
Butter Chicken,308.1,21.7,7.6,99.4,108,5.2,0.9,2.5,22.5,91,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'main-dish', 'poultry', 'asian', 'indian', 'barbecue', 'chicken', 'dietary', 'low-carb', 'low-in-something', 'meat', 'equipment', 'grilling', '4-hours-or-less']"
"Biryani, White Rice",601.2,18.6,3.5,30,1097.5,77.8,3.3,5,18.1,92,1,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
Sandwich,192.8,2.5,0.6,0.6,368.6,36.5,3.1,7.2,7.6,93,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'lunch', 'canadian', 'easy', 'grains', 'dietary', 'sandwiches', 'high-protein', 'inexpensive', 'ontario', 'high-in-something', 'meat', 'pasta-rice-and-grains', 'taste-mood', 'savory', 'number-of-servings', '3-steps-or-less']"
Chicken Tikka,321.5,16.5,4.8,110.4,182.8,5.3,1.4,2.3,36.7,94,1,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'poultry', 'asian', 'indian', 'low-fat', 'chicken', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something', 'meat', 'chicken-breasts']"
