Name,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,foodnumber,recommended,tags
"Onion Rings, French Fries",406.6,3,1.5,29.7,632.5,85.4,8.1,8.7,11.2,95,1,"['30-minutes-or-less', 'time-to-make', 'course', 'onions', 'low-cholesterol', 'presentation', 'european', 'low-in-something', 'low-carb', 'occasion', 'healthy-2', 'preparation', 'main-ingredient', 'finger-food', 'asian', 'potatoes', 'technique', 'easy', 'french', 'cuisine', 'healthy', 'appetizers', 'low-protein', 'dietary', 'vegetables', 'deep-fry', 'served-hot', 'indian']"
Waffles,333.8,15.7,9.3,101.1,531.1,39.5,1.1,4.4,8.5,96,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'american', 'stove-top', 'midwestern', 'equipment']"
Waffles,333.8,15.7,9.3,101.1,531.1,39.5,1.1,4.4,8.5,97,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'american', 'stove-top', 'midwestern', 'equipment']"
Burger,375,18,5,40,900,35,2,7,20,98,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'lunch', 'main-dish', 'beef', 'american', 'easy', 'beginner-cook', 'picnic', 'sandwiches', 'ground-beef', 'meat', 'to-go', 'camping']"
Samosa,37.6,0.4,0.1,0,148.1,7.6,1,0.7,1.1,99,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'healthy', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'indian', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something']"
French Fries,197.5,0.2,0.1,0,9.1,45.7,4.1,2,4.2,100,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'low-protein', 'healthy', '5-ingredients-or-less', 'appetizers', 'potatoes', 'vegetables', 'french', 'easy', 'european', 'finger-food', 'low-fat', 'dietary', 'low-cholesterol', 'low-calorie', 'healthy-2', 'low-in-something', 'presentation']"
Palak Paneer,220.3,10.7,4.6,17.4,446.8,25.1,10.7,7.3,13.8,101,0,"['60-minutes-or-less', 'time-to-make', 'cuisine', 'preparation', 'low-protein', 'asian', 'indian', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']"
"White Rice, White Rice",402.4,7.2,1,0,595,75.6,2.6,0,6.2,102,1,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', '5-ingredients-or-less', 'side-dishes', 'rice', 'indian', 'easy', 'dietary', 'low-sodium', 'low-in-something', 'pasta-rice-and-grains', 'long-grain-rice', '3-steps-or-less']"
Palak Paneer,220.3,10.7,4.6,17.4,446.8,25.1,10.7,7.3,13.8,103,0,"['60-minutes-or-less', 'time-to-make', 'cuisine', 'preparation', 'low-protein', 'asian', 'indian', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']"
Kheer,206.4,7.8,5.7,8.5,39.7,30.5,1.5,10.5,5.1,104,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'for-1-or-2', 'desserts', 'eggs-dairy', 'rice', 'asian', 'indian', 'puddings-and-mousses', 'stove-top', 'pasta-rice-and-grains', 'white-rice', 'equipment', 'number-of-servings']"
Aloo Tikki,249.8,0.8,0.2,0,690.2,55.3,6.7,2.8,6.7,105,0,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'lunch', 'side-dishes', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dinner-party', 'kid-friendly', 'vegan', 'vegetarian', 'grains', 'stove-top', 'dietary', 'inexpensive', 'toddler-friendly', 'pasta-rice-and-grains', 'equipment', 'presentation', 'served-hot']"
Chai,69.3,1.1,0.7,4.3,23,14.8,0.1,13,1.1,106,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'beverages', 'asian', 'indian', 'dietary', 'presentation', 'served-hot']"
Onion Pakora,175,12,2,0,400,18,2,2,4,107,0,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dietary']"
Onion Pakora,175,12,2,0,400,18,2,2,4,108,0,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dietary']"
Chai,69.3,1.1,0.7,4.3,23,14.8,0.1,13,1.1,109,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'beverages', 'asian', 'indian', 'dietary', 'presentation', 'served-hot']"
"Roti, Aloo Gobi",444,8.1,1.1,0,572.5,82.4,8.1,5.9,12.2,110,1,"['breads', 'vegetables', 'curries', '60-minutes-or-less', 'cuisine', 'flat-shapes', 'main-dish', 'time-to-make', 'preparation', 'main-ingredient', 'indian', 'asian', 'course', 'dietary', 'potatoes', 'cauliflower', 'vegetarian']"
"Roti, Aloo Gobi",444,8.1,1.1,0,572.5,82.4,8.1,5.9,12.2,111,1,"['breads', 'vegetables', 'curries', '60-minutes-or-less', 'cuisine', 'flat-shapes', 'main-dish', 'time-to-make', 'preparation', 'main-ingredient', 'indian', 'asian', 'course', 'dietary', 'potatoes', 'cauliflower', 'vegetarian']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,112,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,113,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Biryani,400,15,3,30,800,40,2,5,15,114,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
"Aloo Methi, Aloo Gobi",439.4,14.9,2,0,360.9,71,12.3,11.2,11.2,115,1,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'lunch', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'indian', 'easy', 'vegetarian', 'cauliflower', 'dietary', 'inexpensive']"
Aloo Methi,223.5,7.4,1,0,25.8,36.6,5.9,5.5,5.2,116,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'lunch', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'indian', 'easy', 'vegetarian', 'dietary', 'inexpensive']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,117,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,118,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,119,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Pancakes,99.8,4,2.3,30.3,210.2,13.1,0.4,1.5,2.8,120,0,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'american', 'canadian', 'easy', 'kid-friendly', 'dietary', 'inexpensive'] "
Aloo Gobi,215.9,7.5,1,0,335.1,34.4,6.4,5.7,5.7,121,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'vegetables', 'asian', 'indian', 'vegetarian', 'dietary', 'cauliflower']"
Butter Chicken,308.1,21.7,7.6,99.4,108,5.2,0.9,2.5,22.5,122,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'main-dish', 'poultry', 'asian', 'indian', 'barbecue', 'chicken', 'dietary', 'low-carb', 'low-in-something', 'meat', 'equipment', 'grilling', '4-hours-or-less']"
Biryani,400,15,3,30,800,40,2,5,15,123,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
Roti,228.1,0.6,0.1,0,237.4,48,1.7,0.2,6.5,124,0,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'breads', 'beans', 'indian', 'dietary', 'chick-peas-garbanzos', 'pasta-rice-and-grains', '4-hours-or-less']"
Palak Paneer,220.3,10.7,4.6,17.4,446.8,25.1,10.7,7.3,13.8,125,0,"['60-minutes-or-less', 'time-to-make', 'cuisine', 'preparation', 'low-protein', 'asian', 'indian', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']"
Chole,200,8,1,0,600,25,6,5,8,126,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
Chole,200,8,1,0,600,25,6,5,8,127,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
Chole,200,8,1,0,600,25,6,5,8,128,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
Chole,200,8,1,0,600,25,6,5,8,129,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
Chole,200,8,1,0,600,25,6,5,8,130,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
Chole,200,8,1,0,600,25,6,5,8,131,0,"['curries', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'beans', 'asian', 'indian', 'dinner-party', 'vegetarian', 'pressure-cooker', 'stove-top', 'dietary', 'chick-peas-garbanzos', 'equipment']"
"Bread, Chole",373.1,12.3,1.6,0,834.9,56,10.5,9.8,13.2,132,0,"['occasion', 'preparation', 'stove-top', 'curries', 'main-ingredient', 'vegetarian', 'breads', 'time-to-make', 'course', 'pressure-cooker', 'asian', '4-hours-or-less', 'dinner-party', 'pasta-rice-and-grains', 'chick-peas-garbanzos', 'beans', 'equipment', 'cuisine', 'indian', 'healthy', 'dietary']"
"Chole, White Rice, Chole",601.2,19.6,2.5,0,1497.5,87.8,13.3,10,19.1,133,1,"['dinner-party', 'pressure-cooker', 'course', 'curries', 'main-ingredient', 'presentation', 'occasion', 'asian', 'low-fat', 'free-of-something', 'low-in-something', 'healthy-2', 'preparation', 'stove-top', 'low-sodium', 'time-to-make', 'diabetic', 'side-dishes', 'chick-peas-garbanzos', 'low-cholesterol', 'equipment', 'main-dish', 'low-saturated-fat', 'rice', 'served-hot', 'savory', 'beans', 'healthy', 'cuisine', 'egg-free', '60-minutes-or-less', 'vegetarian', 'pasta-rice-and-grains', 'technique', 'indian']"
"Roti, Chole",428.1,8.6,1.1,0,837.4,73,7.7,5.2,14.5,134,1,"['occasion', 'preparation', 'stove-top', 'curries', 'main-ingredient', 'vegetarian', 'breads', 'time-to-make', 'course', 'chick-peas-garbanzos', 'pressure-cooker', 'asian', '4-hours-or-less', 'dinner-party', 'pasta-rice-and-grains', 'chick-peas-garbanzos', 'beans', 'equipment', 'cuisine', 'indian', 'healthy', 'main-dish', 'dietary']"
"Paratha, White Rice",712.8,32.3,4.8,0,301.5,95.9,11.1,0.3,14.1,135,1,"['30-minutes-or-less', 'time-to-make', 'course', 'rice', 'unhealthy', 'presentation', 'served-hot', 'flat-shapes', '5-ingredients-or-less', 'main-ingredient', 'preparation', 'beginner-cook', 'asian', 'indian', 'easy', 'dietary', 'long-grain-rice', 'low-sodium', 'breads', 'side-dishes', 'snacks', 'vegetarian', 'free-of-something', 'pasta-rice-and-grains', 'cuisine', 'egg-free', 'lunch', '3-steps-or-less', 'low-in-something']"
"Roti, Roti, White Rice",657.4,4.8,0.7,0,772.3,133.8,4.7,0.4,16.1,136,1,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'breads', 'beans', 'indian', 'dietary', 'chick-peas-garbanzos', 'pasta-rice-and-grains', '4-hours-or-less']"
Butter Chicken,308.1,21.7,7.6,99.4,108,5.2,0.9,2.5,22.5,137,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'main-dish', 'poultry', 'asian', 'indian', 'barbecue', 'chicken', 'dietary', 'low-carb', 'low-in-something', 'meat', 'equipment', 'grilling', '4-hours-or-less']"
Butter Chicken,308.1,21.7,7.6,99.4,108,5.2,0.9,2.5,22.5,138,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'main-dish', 'poultry', 'asian', 'indian', 'barbecue', 'chicken', 'dietary', 'low-carb', 'low-in-something', 'meat', 'equipment', 'grilling', '4-hours-or-less']"
Chicken Wings,84,6,1.7,29.1,27.6,0,0,0,6.9,139,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'poultry', 'indian', 'easy', 'chicken', 'meat', 'wings', '3-steps-or-less']"
Paratha,511.6,28.7,4.3,0,4,58.1,9.8,0.3,11,140,0,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'flat-shapes', 'breads', 'unhealthy', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'vegetarian', 'dietary', 'egg-free', 'free-of-something', 'presentation', 'served-hot', '3-steps-or-less']"
Paratha,511.6,28.7,4.3,0,4,58.1,9.8,0.3,11,141,0,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'flat-shapes', 'breads', 'unhealthy', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'vegetarian', 'dietary', 'egg-free', 'free-of-something', 'presentation', 'served-hot', '3-steps-or-less']"
"Onion Rings, French Fries, Chicken Wings",490.6,9,3.2,58.8,660.1,85.4,8.1,8.7,11.2,142,1,"['30-minutes-or-less', 'time-to-make', 'course', '3-steps-or-less', 'main-ingredient', 'appetizers', 'cuisine', 'easy', 'deep-fry', 'poultry', 'potatos', 'indian', 'meat', 'wings', 'low-in-something', 'low-carb', 'onions', 'presentation', 'vegetables', 'preparation', 'main-dish', 'served-hot', 'technique', 'chicken', 'dietary']"
Onion Pakora,175,12,2,0,400,18,2,2,4,143,0,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dietary']"
Biryani,400,15,3,30,800,40,2,5,15,144,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
Chai,69.3,1.1,0.7,4.3,23,14.8,0.1,13,1.1,145,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'beverages', 'asian', 'indian', 'dietary', 'presentation', 'served-hot']"
Chai,69.3,1.1,0.7,4.3,23,14.8,0.1,13,1.1,146,1,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'beverages', 'asian', 'indian', 'dietary', 'presentation', 'served-hot']"
Paratha,511.6,28.7,4.3,0,4,58.1,9.8,0.3,11,147,0,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'flat-shapes', 'breads', 'unhealthy', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'vegetarian', 'dietary', 'egg-free', 'free-of-something', 'presentation', 'served-hot', '3-steps-or-less']"
"Paratha, Paratha",1023.2,57.4,8.6,0,8,116.2,19.6,0.6,22,148,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'flat-shapes', 'breads', 'unhealthy', 'lunch', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'vegetarian', 'dietary', 'egg-free', 'free-of-something', 'presentation', 'served-hot', '3-steps-or-less']"
"Apple, Apple, Apple, Apple, Apple",475,1.5,0.5,0,10,125,20,95,2.5,149,1,"['fruit', 'healthy', 'snack', 'dessert', 'ingredient', 'salad', 'pie', 'baking', 'juice', 'sweet', 'crisp', 'refreshing', 'fall', 'harvest', 'orchard', 'variety', 'nutritious', 'fiber', 'vitamins', 'minerals']"
